key,name,notes,expected-percentage,kind,key:strategy
tactic-32,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,SUBTLE,strategy-19
tactic-33,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,AGGRESSIVE,strategy-19
tactic-34,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,TENDER,strategy-20
#rellenar el resto de strategies para que tengan al menos una tactic
tactic-35,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,SUBTLE,strategy-20
tactic-36,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,AGGRESSIVE,strategy-21
tactic-37,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,TENDER,strategy-21
tactic-38,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,SUBTLE,strategy-22
tactic-39,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,AGGRESSIVE,strategy-22
tactic-40,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,TENDER,strategy-23
tactic-41,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,SUBTLE,strategy-23
tactic-42,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,AGGRESSIVE,strategy-24
tactic-43,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,TENDER,strategy-24
tactic-44,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,SUBTLE,strategy-25
tactic-45,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,AGGRESSIVE,strategy-25
tactic-46,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,TENDER,strategy-26
tactic-47,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,SUBTLE,strategy-26
tactic-48,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,AGGRESSIVE,strategy-27
tactic-49,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,TENDER,strategy-27
tactic-50,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,SUBTLE,strategy-28
tactic-51,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,AGGRESSIVE,strategy-28
tactic-52,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,TENDER,strategy-29
tactic-53,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,SUBTLE,strategy-29
tactic-54,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,AGGRESSIVE,strategy-30
tactic-55,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,TENDER,strategy-30
tactic-56,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,SUBTLE,strategy-31
tactic-57,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,AGGRESSIVE,strategy-31
tactic-58,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,TENDER,strategy-32
tactic-59,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,SUBTLE,strategy-32
tactic-60,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,AGGRESSIVE,strategy-33
tactic-61,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,TENDER,strategy-33
tactic-62,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,SUBTLE,strategy-34
tactic-63,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,AGGRESSIVE,strategy-34
tactic-64,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,TENDER,strategy-35
tactic-65,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,SUBTLE,strategy-35
tactic-66,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,AGGRESSIVE,strategy-36
tactic-67,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,TENDER,strategy-36
tactic-68,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,SUBTLE,strategy-37
tactic-69,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,AGGRESSIVE,strategy-37
tactic-70,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,TENDER,strategy-38
tactic-71,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,SUBTLE,strategy-38
tactic-72,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,AGGRESSIVE,strategy-39
tactic-73,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,TENDER,strategy-39
tactic-74,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,SUBTLE,strategy-40
tactic-75,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,AGGRESSIVE,strategy-40
tactic-76,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,TENDER,strategy-41
tactic-77,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,SUBTLE,strategy-41
tactic-78,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,AGGRESSIVE,strategy-42
tactic-79,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,TENDER,strategy-42
tactic-80,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,SUBTLE,strategy-43
tactic-81,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,AGGRESSIVE,strategy-43
tactic-82,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,TENDER,strategy-44
tactic-83,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,SUBTLE,strategy-44
tactic-84,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,AGGRESSIVE,strategy-45
tactic-85,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,TENDER,strategy-45
tactic-86,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,SUBTLE,strategy-46
tactic-87,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,AGGRESSIVE,strategy-46
tactic-88,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,TENDER,strategy-47
tactic-89,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,SUBTLE,strategy-47
tactic-90,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,AGGRESSIVE,strategy-48
tactic-91,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,TENDER,strategy-48
tactic-92,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,SUBTLE,strategy-49
tactic-93,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,AGGRESSIVE,strategy-49
tactic-94,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,TENDER,strategy-50
tactic-95,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,SUBTLE,strategy-50
tactic-96,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,AGGRESSIVE,strategy-51
tactic-97,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,TENDER,strategy-51
tactic-98,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,SUBTLE,strategy-52
tactic-99,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,AGGRESSIVE,strategy-52
tactic-100,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,TENDER,strategy-53
tactic-101,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,SUBTLE,strategy-53
tactic-102,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,AGGRESSIVE,strategy-54
tactic-103,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,TENDER,strategy-54
tactic-104,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,SUBTLE,strategy-55
tactic-105,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,AGGRESSIVE,strategy-55
tactic-106,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,TENDER,strategy-56
tactic-107,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,SUBTLE,strategy-56
